出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2018-100293,2018/04/27,ガーネット型LLZO酸化物及びその製造方法,本発明は、ガーネット型LLZO酸化物に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、テープ成形により薄膜シート化することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ガーネット型LLZO酸化物を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,ハンビット電池,吉田 由美,H01M10/0562,取下
特願2024-100924,2024/06/10,リチウム析出制御層を用いた全固体電池,本発明は、リチウム析出制御層に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,九曜電子,佐藤 望;清水 直樹;林 美咲,H01M10/052;H01M4/38,公開
特願2017-100271,2017/02/15,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、粒界に非晶質層を導入することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,東雲重工業,山口 隆,C04B35/486;H01B1/08,登録
特願2020-100858,2020/01/26,拘束圧付与機構を用いた全固体電池,本発明は、拘束圧付与機構に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,蓬莱新能源,佐藤 望;井上 亮,H01M10/613,登録
特願2017-100521,2017/02/13,正極-電解質界面被覆層及びその製造方法,本発明は、正極-電解質界面被覆層に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,常盤田精機,中村 健一;松本 修平;山口 由美,H01M10/0562;H01M4/62,登録
特願2018-100198,2018/12/23,酸化物系固体電解質焼結体を用いた全固体電池,本発明は、酸化物系固体電解質焼結体に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、テープ成形により薄膜シート化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,九曜電子,小林 美咲,H01M10/0562,登録
特願2023-100632,2023/05/18,リチウム析出制御層及びその製造方法,本発明は、リチウム析出制御層に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,北斗モータース,林 直樹;高橋 彩;高橋 香織,H01M10/052;H01M4/134,公開
特願2025-100554,2025/04/09,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,白鳳電機産業,木村 隆,H01M10/052;H01M4/134,公開
特願2021-100437,2021/02/22,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,白鳳電機産業,山本 静香,H01M4/525;H01M4/62,公開
特願2018-100803,2018/08/19,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,ハンビット電池,吉田 真一;渡辺 花子;山口 由美,H01M10/613,登録
特願2015-100785,2015/06/12,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,常盤田精機,森 裕子;鈴木 直樹;山田 修平,B32B37/00;H01M4/04,登録
特願2023-100914,2023/12/14,有機無機ハイブリッド電解質膜及びその製造方法,本発明は、有機無機ハイブリッド電解質膜に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,有機無機ハイブリッド電解質膜を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,北斗モータース,渡辺 彩;中村 誠;伊藤 修平,C08J5/22;H01M10/0565,審査中
特願2018-100090,2018/07/21,アルジロダイト型硫化物を用いた全固体電池,本発明は、アルジロダイト型硫化物に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,東都工業大学,山田 美咲;小林 直樹,H01B1/06;H01M10/0562,登録
特願2020-100865,2020/08/19,拘束圧付与機構及びその製造方法,本発明は、拘束圧付与機構に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,九曜電子,山田 拓也,H01M10/613;H01M50/509,登録
特願2020-100100,2020/03/17,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,蒼海自動車,山口 真一,C01B17/22;H01M10/0562,登録
特願2018-100801,2018/01/26,バイポーラ型全固体電池を用いた全固体電池,本発明は、バイポーラ型全固体電池に関する。従来技術では端子部の接触抵抗が大きいという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,白鳳電機産業,高橋 亮,H01M50/509,登録
特願2024-100385,2024/10/21,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,みなと化学工業,渡辺 彩;中村 香織,H01M10/0562;H01M4/525,審査中
特願2015-100342,2015/10/02,架橋ゲルポリマー電解質を用いた全固体電池,本発明は、架橋ゲルポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,架橋ゲルポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,遠州電池,井上 大輔;中村 拓也,H01B1/12,登録
特願2015-100670,2015/12/02,全固体電池の積層体及びその製造方法,本発明は、全固体電池の積層体に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,全固体電池の積層体を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,桔梗精密,木村 誠,B32B37/00,登録
特願2021-100324,2021/01/15,ポリエチレンオキシド系ポリマー電解質を用いた全固体電池,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では室温でのイオン伝導度が低いという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,遠州電池,林 由美;山田 彩;鈴木 真一,C08J5/22;H01B1/12,公開
特願2020-100333,2020/06/12,架橋ゲルポリマー電解質を用いた全固体電池,本発明は、架橋ゲルポリマー電解質に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、界面追従性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,架橋ゲルポリマー電解質を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,白鳳電機産業,山田 太郎;山口 拓也;山口 由美,H01B1/12;H01M10/0565,登録
特願2023-100949,2023/04/09,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,蓬莱新能源,山本 花子;高橋 由美,C04B35/486;H01M10/0562,登録
特願2018-100093,2018/11/07,Li6PS5Cl固体電解質を用いた全固体電池,本発明は、Li6PS5Cl固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,蒼海自動車,加藤 裕子;山田 静香,C01B17/22;H01B1/06,登録
特願2015-100032,2015/07/03,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,蒼海自動車,中村 恵,C01B17/22;H01B1/06,登録
特願2020-100145,2020/10/24,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,ハンビット電池,加藤 健一;高橋 浩二,C01B17/22;H01B1/06,登録
特願2020-100135,2020/01/17,Li2S-P2S5系ガラスセラミックスを用いた全固体電池,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,白鳳電機産業,山田 美咲,C01B17/22,審査中
特願2020-100738,2020/10/21,加圧焼結積層工程を用いた全固体電池,本発明は、加圧焼結積層工程に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,九曜電子,林 修平,H01M10/0585;H01M4/04,登録
特願2020-100124,2020/10/06,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,暁化成,中村 裕子;佐藤 美咲;井上 太郎,H01M10/0562,登録
特願2020-100255,2020/04/12,NASICON型リン酸系酸化物を用いた全固体電池,本発明は、NASICON型リン酸系酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,蒼海自動車,中村 美咲;山口 真一,C04B35/486,登録
特願2021-100762,2021/08/19,電極シート成形装置を用いた全固体電池,本発明は、電極シート成形装置に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,東雲重工業,木村 修平;井上 浩二,H01M10/0585;H01M4/04,公開
特願2021-100020,2021/12/15,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,みなと化学工業,森 直樹;伊藤 修平,H01B1/06;H01M10/0562,取下
特願2016-100870,2016/05/02,積層セルパッケージを用いた全固体電池,本発明は、積層セルパッケージに関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,蒼海自動車,木村 浩二;松本 隆;田中 浩二,H01M10/613;H01M50/509,登録
特願2022-100730,2022/03/28,全固体電池の積層体及びその製造方法,本発明は、全固体電池の積層体に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,全固体電池の積層体を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,葵テクノロジーズ,山本 亮;斎藤 大輔;松本 亮,H01M10/0585;H01M4/04,登録
特願2018-100208,2018/03/02,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,暁化成,松本 裕子;高橋 由美;斎藤 真一,H01B1/08;H01M10/0562,拒絶
特願2015-100311,2015/04/18,リチウム塩含有ポリマー膜及びその製造方法,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では室温でのイオン伝導度が低いという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,蒼海自動車,中村 美咲,C08J5/22;H01B1/12,取下
特願2024-100564,2024/11/07,リチウム合金負極を用いた全固体電池,本発明は、リチウム合金負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,中央先端科学研究所,伊藤 恵;吉田 誠,H01M10/052,登録
特願2019-100245,2019/04/06,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,常盤田精機,山田 修平;林 静香,C04B35/486;H01M10/0562,審査中
特願2019-100787,2019/12/22,積層セルパッケージ及びその製造方法,本発明は、積層セルパッケージに関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,蓬莱新能源,山本 隆;吉田 大輔;渡辺 由美,H01M10/613;H01M50/20,拒絶
特願2020-100210,2020/05/03,酸化物系固体電解質焼結体を用いた全固体電池,本発明は、酸化物系固体電解質焼結体に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、テープ成形により薄膜シート化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,東都工業大学,山田 修平;山本 恵,H01B1/08;H01M10/0562,拒絶
特願2022-100212,2022/09/23,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,中央先端科学研究所,林 大輔;田中 隆,C04B35/486,公開
特願2020-100192,2020/01/20,酸化物系固体電解質焼結体を用いた全固体電池,本発明は、酸化物系固体電解質焼結体に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、テープ成形により薄膜シート化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,蒼海自動車,森 健一;渡辺 健一;森 真一,C04B35/486;H01B1/08,審査中
特願2018-100700,2018/03/16,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,みなと化学工業,中村 由美,B32B37/00;H01M4/04,登録
特願2019-100390,2019/11/01,正極-電解質界面被覆層を用いた全固体電池,本発明は、正極-電解質界面被覆層に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,白鳳電機産業,林 直樹,H01M4/525,公開
特願2021-100640,2021/02/06,リチウム析出制御層及びその製造方法,本発明は、リチウム析出制御層に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,みなと化学工業,清水 拓也,H01M10/052;H01M4/134,拒絶
特願2016-100319,2016/09/02,リチウム塩含有ポリマー膜及びその製造方法,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,葵テクノロジーズ,伊藤 健一;加藤 拓也,C08J5/22,登録
特願2020-100777,2020/08/10,乾式電極成形プロセスを用いた全固体電池,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、等方加圧により積層界面を密着させることにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,汐留マテリアル,加藤 花子;木村 由美;吉田 誠,B32B37/00;H01M4/04,審査中
特願2018-100282,2018/04/19,NASICON型リン酸系酸化物を用いた全固体電池,本発明は、NASICON型リン酸系酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、テープ成形により薄膜シート化することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,ハンビット電池,佐藤 真一;松本 裕子,H01B1/08;H01M10/0562,登録
特願2016-100169,2016/11/12,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,白鳳電機産業,木村 彩;加藤 修平;中村 彩,H01B1/06;H01M10/0562,登録
特願2017-100880,2017/01/01,電池モジュール筐体及びその製造方法,本発明は、電池モジュール筐体に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電池モジュール筐体を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,九曜電子,山田 静香;清水 香織,H01M50/20;H01M50/509,登録
特願2020-100493,2020/12/08,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,菫マテリアルズ,中村 裕子;中村 由美,H01M4/525;H01M4/62,登録
特願2021-100021,2021/05/17,Li2S-P2S5系ガラスセラミックスを用いた全固体電池,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,白鳳電機産業,鈴木 花子;森 恵;渡辺 浩二,H01B1/06,登録
特願2022-100244,2022/07/07,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,若草セラミックス,木村 浩二,C04B35/486,公開
特願2022-100026,2022/10/18,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,九曜電子,山口 大輔;山本 彩,C01B17/22;H01B1/06,審査中
特願2018-100789,2018/07/08,積層セルパッケージを用いた全固体電池,本発明は、積層セルパッケージに関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,蒼海自動車,山田 大輔,H01M10/613;H01M50/20,登録
特願2015-100366,2015/06/14,ポリエチレンオキシド系ポリマー電解質を用いた全固体電池,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,常盤田精機,森 望,C08J5/22;H01M10/0565,登録
特願2020-100357,2020/11/24,リチウム塩含有ポリマー膜を用いた全固体電池,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,蒼海自動車,林 彩;山本 彩;中村 静香,H01B1/12,拒絶
特願2017-100822,2017/06/20,バイポーラ型全固体電池を用いた全固体電池,本発明は、バイポーラ型全固体電池に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,若草セラミックス,清水 修平,H01M50/20;H01M50/509,拒絶
特願2020-100254,2020/06/25,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,桔梗精密,木村 直樹;高橋 直樹,H01B1/08;H01M10/0562,登録
